id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
863181107608662017,863181107608662017,1494633387000,2017-05-13,01:56:27,CEST,2929714707,sionkeilife,𝖍𝖎🦋,"Montréal, Québec","I'm at Rosemont - La Petite-Patrie - @arr_rosemontpp in Montréal, QC  https://www.swarmapp.com/c/bV2MBImDJze ",['arr_rosemontpp'],['https://www.swarmapp.com/c/bV2MBImDJze'],[],0,0,0,"Montreal, Canada",[],https://twitter.com/SionKeiLife/status/863181107608662017,,,0
863180949890183168,863180949890183168,1494633350000,2017-05-13,01:55:50,CEST,2323203268,guylaineaudet,SoinslHerbier,"Mont-Saint-Grégoire, Québec",Notre boutique du Mont-Saint-Grégoire s'est fait une beauté sous le soleil ! Nous avons reçu…  https://www.instagram.com/p/BUAvHCbgP9N/ ,,['https://www.instagram.com/p/BUAvHCbgP9N/'],[],0,0,0,goir,[],https://twitter.com/GuylaineAudet/status/863180949890183168,,,0
863180780930965504,863180780930965504,1494633309000,2017-05-13,01:55:09,CEST,126516871,eltecnofilo,El Tecnófilo,"Montréal, Québec","Las breves tecnológicas de la semana por los lados de #Omen de #HP y #Huawei @ Montreal, Quebec  https://www.instagram.com/p/BUAvAfmBeOS/ ",,['https://www.instagram.com/p/BUAvAfmBeOS/'],[],0,0,0,"ÜT: 45.5594832,-73.6333704","['#omen', '#hp', '#huawei']",https://twitter.com/eltecnofilo/status/863180780930965504,,,0
863180743975088128,863180743975088128,1494633301000,2017-05-13,01:55:01,CEST,26150069,domskibum,Dom Bernier ⭐️⭐️,"Montréal, Québec",Enfin la #SAQ a reçu du @TroisRivieresFR !!!! #rhum #rum #martinique #prendsmespointsInspire @…  https://www.instagram.com/p/BUAvA21l3GD/ ,['troisrivieresfr'],['https://www.instagram.com/p/BUAvA21l3GD/'],[],1,0,1,Montréal,"['#saq', '#rhum', '#rum', '#martinique', '#prendsmespointsinspire']",https://twitter.com/domskibum/status/863180743975088128,,,0
863180673892462592,863180673892462592,1494633284000,2017-05-13,01:54:44,CEST,49802260,frenzywonder,Karine,"Montréal, Québec",👌👌👌  Magicul driiiiinks @ The Lockhart  https://www.instagram.com/p/BUAu--XF1KE/ ,,['https://www.instagram.com/p/BUAu--XF1KE/'],[],0,0,1,"Montréal, Québec",[],https://twitter.com/FrenzyWonder/status/863180673892462592,,,0
863180469579526147,863180469579526147,1494633235000,2017-05-13,01:53:55,CEST,2286550881,dan_jeannotte,Dan Jeannotte,"Montréal, Québec",What up #buck15? A sweaty heart and a wheelbarrow of bones. #tava #alley #montrealstreetart…  https://www.instagram.com/p/BUAu5KFjOAL/ ,,['https://www.instagram.com/p/BUAu5KFjOAL/'],[],1,0,22,"Toronto, Ontario","['#buck15', '#tava', '#alley', '#montrealstreetart']",https://twitter.com/dan_jeannotte/status/863180469579526147,,,0
863180135670861824,863180135670861824,1494633156000,2017-05-13,01:52:36,CEST,126516871,eltecnofilo,El Tecnófilo,"Montréal, Québec","Cars 3: Driven to win llega a la #NintendoSwitch el 13 de junio @ Montreal, Quebec  https://www.instagram.com/p/BUAuunvhsW3/ ",,['https://www.instagram.com/p/BUAuunvhsW3/'],[],0,0,0,"ÜT: 45.5594832,-73.6333704",['#nintendoswitch'],https://twitter.com/eltecnofilo/status/863180135670861824,,,0
863179644597444608,863179644597444608,1494633039000,2017-05-13,01:50:39,CEST,126516871,eltecnofilo,El Tecnófilo,"Montréal, Québec","Amazon estrena un nuevo #EchoShow con pantalla para ue #Alexa @ Montreal, Quebec  https://www.instagram.com/p/BUAufuLBXig/ ",,['https://www.instagram.com/p/BUAufuLBXig/'],[],0,0,0,"ÜT: 45.5594832,-73.6333704","['#echoshow', '#alexa']",https://twitter.com/eltecnofilo/status/863179644597444608,,,0
863179638247481344,863179638247481344,1494633037000,2017-05-13,01:50:37,CEST,2286550881,dan_jeannotte,Dan Jeannotte,"Montréal, Québec",Spaceballs! #tava #alley #montrealstreetart #ruellesdemontreal @antoinetava @ Buck15 Espresso Bar  https://www.instagram.com/p/BUAug8wDecB/ ,['antoinetava'],['https://www.instagram.com/p/BUAug8wDecB/'],[],0,2,25,"Toronto, Ontario","['#tava', '#alley', '#montrealstreetart', '#ruellesdemontreal']",https://twitter.com/dan_jeannotte/status/863179638247481344,,,0
863179589803167744,863179589803167744,1494633025000,2017-05-13,01:50:25,CEST,54988531,ericcliche,Eric Cliche,"Laval, Québec",#theo #cjefootball #goodgame #learningthegame 🏈🏈🏈 @ Collège Letendre  https://www.instagram.com/p/BUAufsxBNh07Zqog9Zl-ut2g0ybUpLu_v6E1I40/ …,,['https://www.instagram.com/p/BUAufsxBNh07Zqog9Zl-ut2g0ybUpLu_v6E1I40/'],[],0,0,0,Montreal,"['#theo', '#cjefootball', '#goodgame', '#learningthegame']",https://twitter.com/ericcliche/status/863179589803167744,,,0
